job_type,run_id,run_cost_usd,cumulative_cost_usd
full,1,9.7e-05,9.7e-05
full,2,0.00011399999999999999,0.00021099999999999998
full,3,9.8e-05,0.000309
full,4,9.9e-05,0.00040799999999999994
full,5,9.7e-05,0.0005049999999999999
full,6,9.499999999999999e-05,0.0006
full,7,0.000102,0.0007019999999999999
full,8,9.499999999999999e-05,0.000797
full,9,0.000102,0.000899
full,10,0.000102,0.001001
full,11,9.599999999999999e-05,0.0010969999999999999
full,12,9.7e-05,0.001194
full,13,9.599999999999999e-05,0.00129
full,14,9.499999999999999e-05,0.001385
full,15,9.999999999999999e-05,0.001485
full,16,9.499999999999999e-05,0.00158
full,17,9.7e-05,0.001677
full,18,9.3e-05,0.00177
full,19,0.000103,0.001873
full,20,0.00010499999999999999,0.001978
full,21,0.000104,0.002082
full,22,0.00010099999999999999,0.002183
full,23,9.699999999999999e-05,0.00228
full,24,9.4e-05,0.002374
full,25,9.6e-05,0.00247
full,26,0.000101,0.002571
full,27,0.00010099999999999999,0.002672
full,28,0.00010499999999999999,0.002777
full,29,0.000103,0.0028799999999999997
full,30,9.3e-05,0.002973
full,31,9.9e-05,0.003072
full,32,9.599999999999999e-05,0.003168
full,33,9.4e-05,0.0032619999999999997
full,34,9.999999999999999e-05,0.0033619999999999995
full,35,0.000104,0.0034659999999999995
full,36,9.4e-05,0.0035599999999999994
full,37,9.8e-05,0.0036579999999999994
full,38,9.7e-05,0.0037549999999999992
full,39,0.000105,0.0038599999999999993
full,40,9.999999999999999e-05,0.003959999999999999
full,41,9.9e-05,0.004058999999999999
full,42,0.00011099999999999999,0.004169999999999999
full,43,9.4e-05,0.0042639999999999996
full,44,0.00010400000000000001,0.0043679999999999995
full,45,9.8e-05,0.0044659999999999995
full,46,9.7e-05,0.004562999999999999
full,47,9.9e-05,0.0046619999999999995
full,48,9.8e-05,0.0047599999999999995
full,49,0.00010899999999999999,0.004868999999999999
full,50,0.000103,0.004971999999999999
full,51,0.00010099999999999999,0.005072999999999999
full,52,0.00011099999999999999,0.005183999999999999
full,53,9.8e-05,0.005281999999999999
full,54,9.8e-05,0.005379999999999999
full,55,9.499999999999999e-05,0.005474999999999999
full,56,9.999999999999999e-05,0.005574999999999999
full,57,9.8e-05,0.005672999999999999
full,58,9.599999999999999e-05,0.005768999999999999
full,59,0.000102,0.005870999999999999
full,60,0.000465,0.006335999999999999
full,61,9.7e-05,0.006432999999999999
full,62,9.599999999999999e-05,0.006528999999999998
full,63,0.000108,0.006636999999999998
full,64,9.8e-05,0.006735
full,65,9.8e-05,0.006833
full,66,9.7e-05,0.0069299999999999995
full,67,9.4e-05,0.007024
full,68,9.599999999999999e-05,0.00712
full,69,9.7e-05,0.0072169999999999995
full,70,9.900000000000001e-05,0.007316
full,71,9.599999999999999e-05,0.007411999999999999
full,72,3.9e-05,0.007450999999999999
full,73,3.9999999999999996e-05,0.007490999999999999
incremental,1,0.000108,0.000108
incremental,2,1.5e-05,0.000123
incremental,3,9e-06,0.000132
incremental,4,8.000000000000001e-06,0.00014000000000000001
incremental,5,9e-06,0.00014900000000000002
incremental,6,1.6e-05,0.00016500000000000003
incremental,7,9.999999999999999e-06,0.00017500000000000003
incremental,8,9e-06,0.00018400000000000003
incremental,9,1.3000000000000001e-05,0.00019700000000000002
incremental,10,1.8e-05,0.00021500000000000002
incremental,11,8.000000000000001e-06,0.00022300000000000003
incremental,12,9e-06,0.00023200000000000003
incremental,13,9e-06,0.00024100000000000003
incremental,14,1.2e-05,0.000253
incremental,15,7e-06,0.00026000000000000003
incremental,16,9.999999999999999e-06,0.00027000000000000006
incremental,17,9e-06,0.00027900000000000006
incremental,18,1.2e-05,0.0002910000000000001
incremental,19,1.3000000000000001e-05,0.00030400000000000007
incremental,20,9.999999999999999e-06,0.00031400000000000004
incremental,21,9.999999999999999e-06,0.00032400000000000007
incremental,22,8.000000000000001e-06,0.00033200000000000005
incremental,23,1.5e-05,0.00034700000000000003
incremental,24,9.999999999999999e-06,0.000357
incremental,25,7e-06,0.000364
incremental,26,1.6e-05,0.00038
incremental,27,1.7e-05,0.000397
incremental,28,8.000000000000001e-06,0.000405
incremental,29,1.4e-05,0.000419
incremental,30,9e-06,0.000428
incremental,31,9e-06,0.000437
incremental,32,1.2e-05,0.00044900000000000007
incremental,33,9.999999999999999e-06,0.0004590000000000001
incremental,34,1.5e-05,0.0004740000000000001
incremental,35,9e-06,0.0004830000000000001
incremental,36,7e-06,0.0004900000000000001
incremental,37,1.1e-05,0.0005010000000000001
incremental,38,8.000000000000001e-06,0.0005090000000000001
incremental,39,1.1e-05,0.0005200000000000002
incremental,40,9e-06,0.0005290000000000002
incremental,41,1.3000000000000001e-05,0.0005420000000000002
incremental,42,9e-06,0.0005510000000000002
incremental,43,8.000000000000001e-06,0.0005590000000000001
incremental,44,9.999999999999999e-06,0.0005690000000000002
incremental,45,8.000000000000001e-06,0.0005770000000000001
incremental,46,1.2e-05,0.0005890000000000001
incremental,47,9e-06,0.0005980000000000001
incremental,48,7e-06,0.0006050000000000001
incremental,49,1.6e-05,0.000621
incremental,50,1.1e-05,0.0006320000000000001
incremental,51,9e-06,0.0006410000000000001
incremental,52,1.3000000000000001e-05,0.0006540000000000001
incremental,53,1.4e-05,0.0006680000000000001
incremental,54,7e-06,0.000675
incremental,55,8.000000000000001e-06,0.000683
incremental,56,9e-06,0.000692
incremental,57,9e-06,0.000701
incremental,58,9e-06,0.00071
incremental,59,1.4e-05,0.000724
incremental,60,7e-06,0.000731
incremental,61,1.1e-05,0.000742
incremental,62,9e-06,0.000751
incremental,63,9e-06,0.00076
incremental,64,1.6e-05,0.0007760000000000001
incremental,65,9.999999999999999e-06,0.0007860000000000001
incremental,66,9.999999999999999e-06,0.0007960000000000002
incremental,67,1.7e-05,0.0008130000000000001
incremental,68,8.000000000000001e-06,0.0008210000000000001
incremental,69,9.999999999999999e-06,0.0008310000000000001
incremental,70,1.5e-05,0.0008460000000000002
incremental,71,1.1e-05,0.0008570000000000002
incremental,72,8.000000000000001e-06,0.0008650000000000002
incremental,73,1.6e-05,0.0008810000000000002
